time_sec,stance
13.4,Left-Handed
13.5,Left-Handed
13.5,Left-Handed
13.5,Left-Handed
13.6,Left-Handed
13.6,Left-Handed
13.6,Left-Handed
13.7,Left-Handed
13.7,Left-Handed
13.7,Left-Handed
13.8,Left-Handed
13.8,Left-Handed
13.8,Left-Handed
13.9,Left-Handed
13.9,Left-Handed
13.9,Left-Handed
14.0,Left-Handed
14.0,Left-Handed
14.0,Left-Handed
14.1,Left-Handed
14.1,Left-Handed
14.1,Left-Handed
14.2,Left-Handed
14.2,Left-Handed
14.2,Left-Handed
14.3,Left-Handed
14.3,Left-Handed
14.3,Left-Handed
14.4,Left-Handed
14.4,Left-Handed
14.4,Left-Handed
14.5,Left-Handed
14.5,Left-Handed
14.5,Left-Handed
14.6,Left-Handed
14.6,Left-Handed
14.6,Left-Handed
14.7,Left-Handed
14.7,Left-Handed
14.7,Left-Handed
14.8,Left-Handed
14.8,Left-Handed
14.8,Left-Handed
14.9,Left-Handed
14.9,Left-Handed
14.9,Left-Handed
15.0,Left-Handed
15.0,Left-Handed
15.0,Left-Handed
15.1,Left-Handed
15.1,Left-Handed
15.1,Left-Handed
15.2,Left-Handed
15.2,Left-Handed
15.2,Left-Handed
15.3,Left-Handed
15.3,Left-Handed
15.3,Left-Handed
15.4,Left-Handed
15.4,Left-Handed
15.4,Left-Handed
15.5,Left-Handed
15.5,Left-Handed
15.5,Left-Handed
15.6,Left-Handed
15.6,Left-Handed
15.6,Left-Handed
15.7,Left-Handed
15.7,Left-Handed
15.7,Left-Handed
15.8,Left-Handed
15.8,Left-Handed
15.8,Left-Handed
15.9,Left-Handed
15.9,Left-Handed
15.9,Left-Handed
16.0,Left-Handed
16.0,Left-Handed
16.0,Left-Handed
16.1,Left-Handed
16.1,Left-Handed
16.1,Left-Handed
16.2,Left-Handed
16.2,Left-Handed
16.2,Left-Handed
16.3,Left-Handed
16.3,Right-Handed
16.3,Right-Handed
16.4,Right-Handed
16.4,Right-Handed
16.4,Right-Handed
16.5,Right-Handed
16.5,Right-Handed
16.5,Right-Handed
16.6,Right-Handed
16.6,Right-Handed
16.6,Right-Handed
16.7,Right-Handed
16.7,Right-Handed
16.7,Right-Handed
16.8,Right-Handed
16.8,Right-Handed
16.8,Right-Handed
16.9,Right-Handed
16.9,Right-Handed
16.9,Right-Handed
17.0,Right-Handed
17.0,Right-Handed
17.0,Right-Handed
17.1,Right-Handed
17.1,Right-Handed
17.1,Right-Handed
17.2,Right-Handed
17.2,Right-Handed
17.2,Right-Handed
17.3,Right-Handed
17.3,Right-Handed
17.3,Left-Handed
17.4,Left-Handed
17.4,Left-Handed
17.4,Left-Handed
17.5,Left-Handed
17.5,Left-Handed
17.5,Left-Handed
17.6,Left-Handed
17.6,Right-Handed
17.6,Right-Handed
17.7,Right-Handed
17.7,Right-Handed
17.7,Right-Handed
17.8,Right-Handed
17.8,Right-Handed
17.8,Right-Handed
17.9,Right-Handed
17.9,Right-Handed
17.9,Right-Handed
18.0,Right-Handed
18.0,Right-Handed
18.0,Right-Handed
18.1,Right-Handed
18.1,Right-Handed
18.1,Right-Handed
18.2,Right-Handed
18.2,Right-Handed
18.2,Right-Handed
18.3,Right-Handed
18.3,Right-Handed
18.3,Right-Handed
18.4,Right-Handed
18.4,Right-Handed
18.4,Right-Handed
18.5,Right-Handed
18.5,Right-Handed
18.5,Right-Handed
18.6,Right-Handed
18.6,Right-Handed
18.6,Right-Handed
18.7,Right-Handed
18.7,Right-Handed
18.7,Right-Handed
18.8,Right-Handed
18.8,Right-Handed
18.8,Right-Handed
18.9,Right-Handed
18.9,Right-Handed
18.9,Right-Handed
19.0,Right-Handed
19.0,Right-Handed
19.0,Right-Handed
19.1,Right-Handed
19.1,Right-Handed
19.1,Right-Handed
19.2,Right-Handed
19.2,Right-Handed
19.2,Right-Handed
19.3,Right-Handed
19.3,Right-Handed
19.3,Right-Handed
19.4,Right-Handed
19.4,Right-Handed
19.4,Right-Handed
19.5,Right-Handed
19.5,Right-Handed
19.5,Right-Handed
19.6,Right-Handed
19.6,Right-Handed
19.6,Right-Handed
19.7,Right-Handed
19.7,Right-Handed
19.7,Right-Handed
19.8,Right-Handed
19.8,Right-Handed
19.8,Right-Handed
19.9,Right-Handed
19.9,Right-Handed
19.9,Right-Handed
20.0,Right-Handed
20.0,Right-Handed
20.0,Right-Handed
20.1,Right-Handed
20.1,Right-Handed
20.1,Right-Handed
20.2,Right-Handed
20.2,Right-Handed
20.2,Right-Handed
20.3,Right-Handed
20.3,Right-Handed
20.3,Right-Handed
20.4,Right-Handed
20.4,Right-Handed
20.4,Right-Handed
20.5,Right-Handed
20.5,Right-Handed
20.5,Right-Handed
20.6,Right-Handed
20.6,Right-Handed
20.6,Right-Handed
20.7,Right-Handed
20.7,Right-Handed
20.7,Right-Handed
20.8,Right-Handed
20.8,Right-Handed
20.8,Right-Handed
20.9,Right-Handed
20.9,Right-Handed
20.9,Right-Handed
21.0,Right-Handed
21.0,Right-Handed
21.0,Right-Handed
21.1,Right-Handed
21.1,Right-Handed
21.1,Right-Handed
21.2,Right-Handed
21.2,Right-Handed
21.2,Right-Handed
21.3,Right-Handed
21.3,Right-Handed
21.3,Right-Handed
21.4,Right-Handed
21.4,Right-Handed
21.4,Right-Handed
21.5,Right-Handed
21.5,Right-Handed
21.5,Right-Handed
21.6,Right-Handed
21.6,Right-Handed
21.6,Right-Handed
21.7,Right-Handed
21.7,Right-Handed
21.7,Right-Handed
21.8,Right-Handed
21.8,Right-Handed
21.8,Left-Handed
21.9,Left-Handed
21.9,Left-Handed
21.9,Left-Handed
